Product ID,Product Name,Category,Price,Stock Quantity,Description
1,Wireless Mouse,Electronics,29.99,150,Ergonomic wireless mouse with adjustable DPI settings
2,Cotton T-Shirt,Apparel,14.99,300,Comfortable cotton t-shirt in various sizes and colors
3,Electric Kettle,Home Appliances,39.99,75,1.7L electric kettle with auto-shutoff and boil-dry protection
4,Running Shoes,Sports,59.99,120,Lightweight running shoes with breathable mesh and cushioned sole
5,Smart Watch,Electronics,199.99,50,Smart watch with heart rate monitor and GPS tracking
6,Wooden Dining Table,Furniture,299.99,20,Sturdy wooden dining table with a natural finish
7,LED Desk Lamp,Home Office,24.99,200,Adjustable LED desk lamp with touch control and USB port
8,Wireless Earbuds,Electronics,79.99,180,Noise-canceling wireless earbuds with charging case
9,Stainless Steel Water Bottle,Accessories,19.99,250,Insulated stainless steel water bottle, keeps drinks cold or hot
10,Coffee Maker,Home Appliances,89.99,60,Programmable coffee maker with built-in grinder
11,Leather Wallet,Accessories,34.99,90,Premium leather wallet with RFID blocking
12,Bluetooth Speaker,Electronics,49.99,140,Portable Bluetooth speaker with deep bass and long battery life
13,Yoga Mat,Sports,24.99,220,Non-slip yoga mat with carrying strap
14,Office Chair,Furniture,149.99,35,Ergonomic office chair with lumbar support and adjustable height
15,Digital Camera,Electronics,299.99,40,Compact digital camera with 20MP sensor and 4K video recording
16,Ceramic Vase,Home Decor,19.99,70,Handcrafted ceramic vase with a modern design
17,Laptop Backpack,Accessories,59.99,110,Durable laptop backpack with multiple compartments
18,Blender,Home Appliances,49.99,85,High-speed blender with multiple speed settings and pulse function
19,Winter Jacket,Apparel,129.99,55,Insulated winter jacket with hood and waterproof exterior
20,Electric Toothbrush,Personal Care,39.99,160,Rechargeable electric toothbrush with multiple brushing modes
21,USB-C Hub,Electronics,29.99,150,Multi-port USB-C hub with HDMI, USB 3.0, and Ethernet
22,Silk Scarf,Accessories,24.99,75,Luxurious silk scarf available in various patterns
23,Fitness Tracker,Sports,49.99,90,Waterproof fitness tracker with heart rate and sleep monitor
24,Ceramic Knife Set,Kitchen,39.99,110,Set of 4 ceramic knives with ergonomic handles
25,Camping Tent,Outdoor,99.99,35,4-person camping tent with waterproof and UV protection
26,Noise Cancelling Headphones,Electronics,129.99,65,Over-ear noise-cancelling headphones with Bluetooth
27,Espresso Machine,Home Appliances,199.99,40,Automatic espresso machine with milk frother
28,Electric Griddle,Kitchen,49.99,80,Non-stick electric griddle with adjustable temperature control
29,Gaming Keyboard,Electronics,89.99,120,Mechanical gaming keyboard with RGB backlighting
30,Memory Foam Pillow,Bedding,34.99,100,Ergonomic memory foam pillow with cooling gel
31,Portable Projector,Electronics,299.99,25,Compact portable projector with 1080p resolution
32,Hair Dryer,Personal Care,39.99,140,Ionic hair dryer with multiple heat and speed settings
33,Artificial Succulents,Home Decor,19.99,200,Set of 3 artificial succulents in ceramic pots
34,Electric Pressure Cooker,Kitchen,89.99,50,8-in-1 electric pressure cooker with digital display
35,Waterproof Backpack,Outdoor,59.99,70,Durable waterproof backpack with multiple compartments
36,Digital Thermometer,Health,14.99,180,Fast-read digital thermometer with flexible tip
37,Pet Bed,Pet Supplies,29.99,60,Comfortable pet bed with removable washable cover
38,Wireless Charger,Electronics,24.99,250,Fast wireless charger compatible with Qi-enabled devices
39,Sun Hat,Accessories,19.99,130,Wide-brim sun hat with UV protection
40,Dehumidifier,Home Appliances,149.99,30,Portable dehumidifier with continuous drain option
41,Kitchen Scale,Kitchen,19.99,140,Digital kitchen scale with tare function and LCD display
42,Wall Art,Home Decor,49.99,80,Set of 3 framed wall art prints in modern designs
43,Luggage Set,Travel,199.99,45,3-piece luggage set with spinner wheels and TSA locks
44,Hand Blender,Kitchen,34.99,90,Immersion hand blender with multiple speed settings
45,Winter Gloves,Apparel,24.99,120,Insulated winter gloves with touchscreen compatibility
46,Electric Skillet,Kitchen,59.99,70,Non-stick electric skillet with glass lid
47,Pet Feeder,Pet Supplies,39.99,50,Automatic pet feeder with programmable timer
48,Weighted Blanket,Bedding,89.99,60,Weighted blanket with breathable cotton cover
49,Vacuum Cleaner,Home Appliances,149.99,40,High-power vacuum cleaner with HEPA filter
50,Camping Chair,Outdoor,39.99,75,Folding camping chair with cup holder and carrying bag
51,Smart Light Bulb,Home Automation,19.99,100,Smart LED light bulb with WiFi control and color changing
52,Shower Speaker,Electronics,29.99,110,Waterproof Bluetooth shower speaker with suction cup
53,Travel Pillow,Travel,24.99,140,Memory foam travel pillow with removable cover
54,Wireless Game Controller,Electronics,49.99,90,Ergonomic wireless game controller compatible with multiple platforms
55,Electric Razor,Personal Care,59.99,70,Rechargeable electric razor with multiple grooming attachments
56,Face Mask,Health,14.99,300,Reusable face mask with adjustable ear loops and filter pocket
57,Picnic Basket,Outdoor,59.99,40,Wicker picnic basket set with plates, utensils, and blanket
58,Handheld Vacuum,Home Appliances,69.99,80,Cordless handheld vacuum with powerful suction
59,Yoga Blocks,Fitness,19.99,150,Set of 2 high-density foam yoga blocks
60,Desk Organizer,Office Supplies,24.99,120,Multi-compartment desk organizer with drawer
61,Skateboard,Outdoor,59.99,60,Standard skateboard with grip tape and durable wheels
62,Hand Mixer,Kitchen,29.99,100,Electric hand mixer with 5 speed settings
63,Table Lamp,Home Decor,34.99,90,Modern table lamp with adjustable brightness
64,BBQ Grill,Outdoor,199.99,30,Portable BBQ grill with folding legs and carry handle
65,Travel Mug,Accessories,19.99,180,Insulated travel mug with spill-proof lid
66,Floor Lamp,Home Decor,89.99,45,LED floor lamp with remote control and dimmable settings
67,Electric Blanket,Bedding,59.99,70,Heated electric blanket with multiple heat settings
68,Water Filter Pitcher,Kitchen,29.99,150,Water filter pitcher with long-lasting filter
69,Guitar Stand,Music,19.99,120,Foldable guitar stand with non-slip rubber feet
70,Tool Set,Tools,49.99,90,40-piece tool set with carrying case
71,Kids' Scooter,Outdoor,39.99,60,Foldable kids' scooter with adjustable handlebar
72,Sewing Machine,Home Appliances,129.99,40,Portable sewing machine with multiple stitch patterns
73,Laptop Stand,Office Supplies,34.99,150,Adjustable laptop stand with cooling fan
74,Throw Blanket,Home Decor,29.99,100,Soft throw blanket with fringe trim
75,Dumbbell Set,Fitness,79.99,80,Adjustable dumbbell set with storage rack
76,Camping Stove,Outdoor,59.99,70,Portable camping stove with windscreen and carrying case
77,Gaming Mouse,Electronics,39.99,120,RGB gaming mouse with adjustable DPI and programmable buttons
78,Car Vacuum,Automotive,29.99,110,Portable car vacuum with multiple attachments
79,Fragrance Diffuser,Home Decor,24.99,200,Essential oil fragrance diffuser with timer settings
80,Photo Frame,Home Decor,19.99,140,Set of 4 wooden photo frames with glass front
81,Chef Knife,Kitchen,49.99,80,Professional chef knife with high-carbon stainless steel blade
82,Laptop Cooling Pad,Electronics,29.99,130,USB-powered laptop cooling pad with LED lights
83,Electric Grill,Kitchen,69.99,50,Indoor electric grill with non-stick surface and temperature control
84,Bean Bag Chair,Furniture,99.99,30,Large bean bag chair with removable cover
85,Toaster Oven,Kitchen,59.99,60,Compact toaster oven with multiple functions
86,Tablet Stand,Electronics,19.99,150,Adjustable tablet stand with 360-degree rotation
87,Dog Leash,Pet Supplies,14.99,120,Reflective dog leash with padded handle
88,Resistance Bands,Fitness,24.99,140,Set of 5 resistance bands with different tension levels
89,Storage Ottoman,Furniture,49.99,50,Storage ottoman with hinged lid and fabric upholstery
90,Hot Air Fryer,Kitchen,89.99,45,Digital hot air fryer with multiple presets
91,Bath Towel,Home,24.99,150,Soft and absorbent bath towel available in multiple colors
92,Kitchen Knife Set,Kitchen,59.99,80,Stainless steel kitchen knife set with wooden block
93,Electric Scooter,Electronics,299.99,20,Foldable electric scooter with long battery life
94,Dog Bed,Pet Supplies,49.99,50,Comfortable dog bed with removable cover
95,Wireless Mouse,Electronics,19.99,200,Compact wireless mouse with silent clicks
96,Standing Desk,Furniture,199.99,30,Adjustable standing desk with large work surface
97,Air Purifier,Home Appliances,149.99,40,HEPA air purifier with 3-speed fan and timer
98,Beach Umbrella,Outdoor,39.99,70,Portable beach umbrella with UV protection
99,Bluetooth Headset,Electronics,49.99,90,Wireless Bluetooth headset with noise-canceling mic
100,Espresso Cups,Kitchen,24.99,150,Set of 4 espresso cups with saucers
101,Gaming Chair,Furniture,159.99,25,Ergonomic gaming chair with adjustable armrests
102,Electric Shaver,Personal Care,69.99,60,Rechargeable electric shaver with pivoting head
103,Kids' Tent,Outdoor,29.99,100,Pop-up kids' play tent with carrying case
104,Fitness Ball,Sports,19.99,120,Anti-burst exercise ball with foot pump
105,Juicer,Kitchen,89.99,40,Slow masticating juicer with quiet motor
106,Table Tennis Set,Sports,49.99,60,Portable table tennis set with net and paddles
107,Smart Thermostat,Home Automation,129.99,50,WiFi-enabled smart thermostat with app control
108,Electric Bike,Outdoor,799.99,15,Electric bike with pedal assist and removable battery
109,Wireless Keyboard,Electronics,29.99,180,Slim wireless keyboard with rechargeable battery
